,Unnamed: 0,uid,originh,originp,responh,responp,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,traffic_category,Label
0,0,Cg61Jch3vdz9DBptj,103.255.15.23,13316,128.199.242.104,443,2.207588,15,14,6,6,6.794746,6.341763,13.136509,0.933333,464,20,40,492,32,44,2,2,2,6,5,26,0,0,0,0,0,742,1826,121.733333,220.736581,0,1448,5025,358.928571,552.23984,0,1448,6851,236.241379,424.859275,18.119812,1963762.045,2207602.978,157685.927,520505.2268,7.867813,2032928.944,2177949.905,167534.6081,560626.7118,7.867813,1963762.045,2207602.978,78842.96349,369637.8388,3103.387105,7.5,7,913,2512.5,0,0,0,0,0,0,2207602.978,2207602.978,2207602.978,2207602.978,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
1,1,CdRIlqLWdj35Y9vW9,103.255.15.23,13318,128.199.242.104,443,15.624266,15,14,6,6,0.960045,0.896042,1.856087,0.933333,488,20,44,468,32,44,2,2,2,6,5,26,0,0,0,0,0,745,1829,121.933333,221.339257,0,1448,5025,358.928571,552.23984,0,1448,6854,236.344828,424.987166,20.980835,15343001.13,15624277.11,1116019.794,4094889.24,20.980835,15411444.19,15595169.07,1199628.39,4270147.597,10.01358,15343001.13,15624277.11,558009.897,2897622.376,438.676603,7.5,7,914.5,2512.5,0,0,0,0,0,0,28837.91924,252438.0684,281275.9876,140637.9938,158109.1817,15343001.13,15343001.13,15343001.13,15343001.13,0,29200,65160,0,Bruteforce-XML,1
2,2,CLzp9Khd0Y09Qkgrg,103.255.15.23,13320,128.199.242.104,443,12.203357,14,13,6,5,1.147225,1.065281,2.212506,0.928571,432,20,40,448,32,44,2,2,2,6,5,24,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,386.538462,817.479013,0,2896,6853,253.814815,592.570284,36.001205,11968142.99,12203381.06,938721.6201,3314031.528,15.02037,12036739.11,12174822.09,1014568.508,3471106.619,15.02037,11968142.99,12203381.06,469360.8101,2345336.025,561.566789,7,6.5,914,2512.5,0,0,0,0,0,0,28913.02109,206325.0542,235238.0753,117619.0376,125449.2517,11968142.99,11968142.99,11968142.99,11968142.99,0,29200,65160,0,Bruteforce-XML,1
3,3,Cnf1YA4iLB4CSNWB88,103.255.15.23,13322,128.199.242.104,443,9.992448,14,13,6,5,1.401058,1.300983,2.702041,0.928571,432,20,40,436,32,44,2,2,2,6,5,24,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,386.538462,817.479013,0,2896,6853,253.814815,592.570284,50.067902,9759204.865,9992470.026,768651.5405,2701448.226,20.980835,9828446.865,9963347.912,830278.9927,2833716.49,20.980835,9759204.865,9992470.026,384325.7702,1912151.636,685.81794,7,6.5,914,2512.5,0,0,0,0,0,0,29529.0947,203736.0668,233265.1615,116632.5808,123182.9313,9759204.865,9759204.865,9759204.865,9759204.865,0,29200,65160,0,Bruteforce-XML,1
4,4,C4ZKvv3fpO72EAOsJ6,103.255.15.23,13324,128.199.242.104,443,7.780611,14,14,6,5,1.799345,1.799345,3.598689,1,432,20,40,480,32,44,2,2,2,6,5,25,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,358.928571,792.173394,0,2896,6853,244.75,583.468215,16.927719,7545305.014,7780620.098,598509.2383,2087417.478,15.02037,7613718.987,7750840.902,596218.5309,2108534.389,9.059906,7545305.014,7780620.098,288171.1147,1450410.621,880.779153,7,7,914,2512.5,0,0,0,0,0,0,28550.14801,206764.9364,235315.0845,117657.5422,126016.8854,7545305.014,7545305.014,7545305.014,7545305.014,0,29200,65160,0,Bruteforce-XML,1
5,5,CyC8D5X7IIG7U95l4,103.255.15.23,13326,128.199.242.104,443,4.571433,14,13,6,5,3.062497,2.843747,5.906244,0.928571,432,20,40,424,32,40,2,2,2,6,5,24,0,0,0,0,0,742,1826,130.428571,226.387589,0,2896,5025,386.538462,817.479013,0,2896,6851,253.740741,592.506773,20.980835,4340379,4571445.942,351649.6878,1198738.72,6.914139,4409031.868,4542500.019,378541.6683,1269338.855,6.914139,4340379,4571445.942,175824.8439,849505.7005,1498.654854,7,6.5,913,2512.5,0,0,0,0,0,0,4571445.942,4571445.942,4571445.942,4571445.942,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
6,6,CEXyM013OxRuUddrS2,103.255.15.23,13328,128.199.242.104,443,2.19264,14,13,6,5,6.384997,5.928926,12.313923,0.928571,432,20,40,424,32,40,2,2,2,6,5,24,0,0,0,0,0,742,1826,130.428571,226.387589,0,2896,5025,386.538462,817.479013,0,2896,6851,253.740741,592.506773,26.941299,1964499.95,2192651.987,168665.5375,540182.1375,7.867813,2032080.173,2163109.064,180259.0887,583304.6783,7.867813,1964499.95,2192651.987,84332.76873,383696.7549,3124.543835,7,6.5,913,2512.5,0,0,0,0,0,0,2192651.987,2192651.987,2192651.987,2192651.987,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
7,7,CVFc4q26WLSGblwO2c,103.255.15.23,13330,128.199.242.104,443,16.082514,14,14,6,5,0.870511,0.870511,1.741021,1,432,20,40,468,32,44,2,2,2,6,5,25,0,0,0,0,0,741,1825,130.357143,226.179849,0,2896,5025,358.928571,792.173394,0,2896,6850,244.642857,583.373409,33.140182,15848376.04,16082529.07,1237117.621,4390212.346,8.106232,15916583.78,16052683.12,1234821.778,4411338.873,8.106232,15848376.04,16082529.07,595649.2247,3048315.275,425.928433,7,7,912.5,2512.5,0,0,0,0,0,0,28995.99075,205157.0416,234153.0323,117076.5162,124564.6736,15848376.04,15848376.04,15848376.04,15848376.04,0,29200,65160,0,Bruteforce-XML,1
8,8,CCvZhO2f7ztLs9Hopc,103.255.15.23,13332,128.199.242.104,443,13.87324,15,14,6,6,1.081218,1.009137,2.090355,0.933333,476,20,44,480,32,44,2,2,2,6,4,26,0,0,0,0,0,746,1830,122,221.540387,0,1448,5025,358.928571,552.23984,0,1448,6855,236.37931,425.02995,32.186508,13593590.97,13873255.01,990946.7867,3627383.922,27.894974,13661505.94,13844882.97,1064990.997,3784813.619,15.02037,13593590.97,13873255.01,495473.3934,2567030.514,494.116731,7.5,7,915,2512.5,0,0,0,0,0,0,28571.12885,251092.9108,279664.0396,139832.0198,157346.661,13593590.97,13593590.97,13593590.97,13593590.97,0,29200,65160,0,Bruteforce-XML,1
9,9,CIPZU1mfhrkqqix49,103.255.15.23,13334,128.199.242.104,443,11.331464,14,13,6,5,1.235498,1.147248,2.382746,0.928571,432,20,40,424,32,40,2,2,2,6,5,24,0,0,0,0,0,741,1825,130.357143,226.179849,0,2896,5025,386.538462,817.479013,0,2896,6850,253.703704,592.475109,33.140182,11094823.84,11331480.03,871652.3097,3071792.095,15.02037,11162833.93,11301831.96,941819.3301,3218809.753,15.02037,11094823.84,11331480.03,435826.1549,2174055.899,604.511471,7,6.5,912.5,2512.5,0,0,0,0,0,0,28536.08131,208120.1077,236656.189,118328.0945,126985.0828,11094823.84,11094823.84,11094823.84,11094823.84,0,29200,65160,0,Bruteforce-XML,1
